"(0.13583333333333333, 0.4341666666666667)"
"(0.14666666666666667, 0.5373333333333334)"
"(0.45, 0.7416666666666667)"
"(0.15740740740740744, 0.6425925925925926)"
"(0.33999999999999997, 0.5)"
"(0.25, 0.35)"
"(0.32500000000000007, 0.5096153846153846)"
"(0.27045454545454545, 0.6636363636363637)"
"(0.35, 0.45)"
"(0.6416666666666666, 0.7033333333333334)"
"(0.20859375, 0.47708333333333336)"
"(0.25416666666666665, 0.65)"
"(0.16428571428571428, 0.6208616780045352)"
"(0.29994047619047626, 0.5765476190476191)"
"(0.47500000000000003, 0.5770833333333333)"
"(0.1625, 0.6333333333333333)"
"(0.328125, 0.3)"
"(0.5041666666666667, 0.5666666666666668)"
"(0.08055555555555556, 0.888888888888889)"
"(0.32375000000000004, 0.595)"
"(0.35424999999999995, 0.6102222222222222)"
"(0.42000000000000004, 0.475)"
"(0.4580357142857143, 0.5976190476190476)"
"(0.34204545454545454, 0.5861111111111111)"
"(0.5, 0.45)"
"(0.25625000000000003, 0.6710648148148147)"
"(0.3333333333333333, 0.375)"
"(0.4666666666666667, 0.6666666666666666)"
"(0.31727272727272726, 0.5509090909090909)"
"(0.3644444444444444, 0.55)"
"(0.5016666666666667, 0.6483333333333333)"
"(0.42622222222222217, 0.6597777777777777)"
"(0.23214285714285715, 0.6571428571428571)"
"(0.17976190476190476, 0.4726190476190476)"
"(0.58, 0.71)"
"(0.34333333333333343, 0.6833333333333332)"
"(0.275, 0.525)"
"(0.49166666666666664, 0.5416666666666666)"
"(0.9, 0.525)"
"(0.475, 0.6875)"
"(0.5875, 0.625)"
"(0.29625, 0.6583333333333334)"
"(0.29285714285714287, 0.5457142857142857)"
"(0.3926298701298701, 0.5166233766233767)"
"(0.41904761904761906, 0.6472222222222221)"
"(0.0, 0.0)"
"(0.26666666666666666, 0.3666666666666667)"
"(0.36339285714285713, 0.5785714285714285)"
"(0.3541666666666667, 0.5282407407407407)"
"(0.43000000000000005, 0.5900000000000001)"
"(0.371875, 0.515625)"
